,Tweets
2468,"@AlannaFeeney @McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme @MichealMartinTD Above all, Dept of Ag staff will have spent a vast amount of time in China, have a very good understanding of where stock are going and have highly regulated standards here..... a 🐎 for e.g. goes through 3 vet checks in under 48hrs in Ireland just to go to UK"
2469,"@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme I'd like to see you travel to China in the bottom of a ship after weeks at sea and see how you feel. But no, you won't imagine that as your safe in your govt job in the big smoke... shame on you shame on ireland hang your heads in shame...."
2470,@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Live pigs to China? Yet again ireland and its shite government sells its soul.... when will ireland learn respect for the lives of animals... when will the Irish government have respect for whats living. Lives are not products ... they are not stock they are living being.
2471,@McConalogue @martinheydonfg @agriculture_ie @fiannafailparty @IFAmedia @ICSAIreland @JoinINHFA @MacranaFeirme Now is a good time to show appreciation for those who are committed to forestry in Ireland. Let’s get our industry back on its feet. #Homegrown #timber
2472,"@McConalogue @MichealMartinTD

ANIMAL WELFARE IS CONTINUOUSLY OUT OF CONTROL IN IRELAND. ENFORCE ANIMAL WELFARE ACT NOW. DEPT. OF AGRICULTURE NON EXISTENT.  NO ANIMAL WELFARE NO VOTE.

https://t.co/SkJ6dig4mI"
2473,"@MichealMartinTD 
@PresidentIRL 
@LeoVaradkar 
@MaryLouMcDonald 

ANIMAL CRUELTY IS OUT OF CONTROL IN IRELAND.  DEPT. OF AGRICULTURE NON EXISTENT.  ENFORCE ANIMAL WELFARE ACT NOW.  NO ANIMAL WELFARE NO VOTE 

https://t.co/SkJ6dig4mI"
2474,This is a wonderful enterprise. Diversity in our #FoodSystems especially in the #blueeconomy is fully aligned with Ireland's new FoodVision2030 agri-food strategy; our messaging for the UN @FoodSystems next week; and IE objectives for #SDG2 #SDG5 #SDG13 #SDG14 @agriculture_ie https://t.co/0nn9JNfn6E
2475,"@DavQuinn In addition to all the pollution deaths, heart, lung dementia disease, Ireland is vulnerable. We are exposed to storms, and we have many coastal towns and cities. Our agriculture would vanish, with an extra .5 degree C, because of extremes."
2476,"Meet Northern Ireland Sheep Programme (NISP) participant James McCay from County Tyrone.

Find out how James has benefited from being an NISP participant farmer. 

Find out more about NISP: https://t.co/ST2WYwyG45 https://t.co/mEWiUgmUkm"
2477,"@AndrewBowie_MP You dont know that until next vote.  That was on that day when we were still in EU 
 Your govt have knackered that with Brexit, food disruption. Fishing, agriculture ,Northern Ireland.  Think the people from north east will forget. Think not. Enjoy your days while they last"
2478,"@pipmcgowan I agree with all your points! I think the problem is more fundamental though (for all of Ireland); what is the strategy for the island?
Agriculture, IT, health &amp; education…is that all people want? Once you get a strategy in place, then you can adjust your education systems to…"
2479,"@IrishTimes Facts matter, truth matter. We can't blame Agriculture  while towns and villages across Ireland  continue discharging raw sewage into open waters  due to ongoing delays by Irish Water in connecting  wastewater treatment plants.  https://t.co/g6nSQxyCIp"
2480,"Research indicates Turkish farmers arrived in Ireland about 6,000 years ago, bringing agriculture with them
#irishhistory 
https://t.co/gludajw7TB"
2481,The EU requirement under the NI Protocol for pets travelling within the UK to have rabies vaccines if travelling from GB to NI had been suspended by the UK government &amp; the Northern Ireland Department of Agriculture https://t.co/GcTPNiQNfc
2482,"Ancient #DNA rewrites early #Japanese history: modern day populations have tripartite genetic origin 
https://t.co/ZLJ2scISzh
#Agriculture #Asia #Asian #Dublin #Europe #Immigrants #Indigenous #Ireland #Japan #Korean #Microbiology #PopulationGenetics #Psychiatry #ScienceAdvances https://t.co/DYgHzAtIiA"
2483,@JayLund113 @codytoshiro @UCDavisLaw @UCDavisMagazine I keep hearing how Israel is continuously reducing desalination costs for agriculture and selling water to neighbors - really interesting guess I'll read up on it https://t.co/Ij9FEXO26r
2484,"@OldMouseCork In Ireland we discuss why we need to host the America's cup, rather than talking about using that money to bolster our navy and flood defences,  or to fund farmers rewilding and switching from animal agriculture to horticulture to help Ireland's food security. That is what we do."
2485,"@BrunoTheBridge @rosebudorson @susan04071 @afewpoints @David19531501 @GeorReader @BeowulfSchaefer @Roblev0 @The_Leaver @Europhile507 @EuOutta @Gazza41 @brianbloop2 @LeftBehindPoet @GeoffreyKeey @viv_cooper @LeeroyBrown322 @Hobbehod1 @thegrimbarian @Matt_GS @gil0607 @Davidmetroland @Swen_2017 @ShaneJa16905901 @Mac_Paddy54 @CarlsbadCharlie @Mindedmusically @Ciolfilicious1 @ConraddKonnrad @fan_vor @resiguru @cathyby @AndrewGarside3 @ShegorReader @CheeseNBranston @Begentle50 @tobedecided22 @HWick_Chris @giles7452 @condimentset @JRTomlinAuthor @Tip_of_spear @Ztx294 @Jim_Cornelius @Blunami2020 @JohnRya13591294 @schnoogsl @CREWTIGER @BlamesJinds @EdemaRuh9 Hitching a ride...

The UK keeps violating the treaty it ratified less than 2 years ago.

This must stop!

https://t.co/HO1WuFoecq"
2486,"Agriculture Minister Edwin Poots removes post-Brexit checks on GB to NI pet travel ‘indefinitely’ #agriculture #postBrexit #pettravel
https://t.co/q9By6oJ0oU"
2487,"Meet Northern Ireland Sheep Programme (NISP) participant Dermot McAleese from Loughgiel, County Antrim.

Find out how Dermot has benefited from being an NISP participant. 

Find out more about NISP: https://t.co/113wLXNfaD https://t.co/NivboTHPMH"
2488,"UKGMT —   Northern Ireland's Minister for Agriculture, the DUP Assembly member Edwin Poots, announced on Wednesday that he was extending the grace period in ... View article... https://t.co/sxOeDHia3E"
2489,Spend 1:46 min with Elizabeth. She is a Sorghum farmer who has made a big difference in her life with the help of @WFP's Climate Smart Agriculture Project #csap. Thanks to Ireland 🇮🇪 for funding CSAP. https://t.co/gMPGtrv8nx
2490,@dairymaster @McConalogue @agriculture_ie @NormaFoleyTD1 @Education_Ire @JimmyMoloney @COECongress @fiannafailparty Exactly 💯 % a great company for rural Ireland 🇮🇪 involved in a great tradition . Apart from agriculture what other indigenous employment do we have. Time to stand up for ourselves
2491,"Agriculture, Environment and Rural Affairs Minister @edwinpootsmla is looking forward to this year’s @balmoralshow, which will showcase the very best of Northern Ireland’s agri-food and rural sectors. More info: https://t.co/0Gxu2aTeup

@EikonExhibition #balmoralshow #ruralni https://t.co/RONjuCSAvw"
2492,"This public consultation on Ireland’s Draft Nitrates Action Programme is still open. #HaveYourSay by Monday, September 20th. Check out the details here: https://t.co/xNcVvfRX9a.  #PublicConsultation #Agriculture #Nitrates #WaterQuality 💦 https://t.co/Z5FlbUnqck"
2493,Thanks @SligoWeekender for covering this important issue @CIF_Ireland @sligococo @EngineersIreNW @EngineerIreland @MarianHarkin @agriculture_ie #timber #forestry  #ireland https://t.co/drdKs0DeuL
2494,"UKD — Post-Brexit checks on pets travelling into North to be suspended: Northern Ireland's Minister for Agriculture, the DUP Assembly member Edwin Poots, announced on Wednesday that he was extending the grace period in ... View article... https://t.co/lRJAmq5REq"
2495,"@NDC_ie @NDC_ie who are you kidding?  https://t.co/sFnMEWZeYB
'Ireland is failing to limit escalating levels of dangerous ammonia air pollution due to continuing dairy intensification and excessive use of nitrogen from fertiliser and feeds.'"
2496,"@pippa_hackett @greenparty_ie  What exactly is the party's definition of Factory Farming?
The policies on the party site for Rural Ireland and Agriculture state you all want to do your best.
We have an idea, Leave us alone to do what we do."
2497,"The Department of Agriculture, Environment and Rural Affairs: Opposition to a proposed badger cull in Northern Ireland. - Sign the #Petition! https://t.co/09meqfwF0q via @UKChange"
2498,"Biodiversity crisis getting worse 
Minister for agriculture doing the ‘CAP’ tour of Ireland- well done on calling this out Jen- getting out of any crisis needs plans- it’s all about the plan! https://t.co/bFwpIkPybd"
2499,@EU_ENV @EUEnvironment   Look at what farmers in Ireland are doing.  Please help the people of Ireland to safeguard our land for future generations - please ask the Irish Dept of Agriculture to explain these goings on. https://t.co/bvrkTWyMsV
2500,"Meet Northern Ireland Sheep Programme (NISP) participant Clement Lynch.

The aim of the programme is to increase the profitability  through technology transfer &amp; the adoption of the latest research advancements &amp; management practices.

Find out more https://t.co/yAFiLQeyhD https://t.co/OIeK9b2uZJ"
2501,"The call for abstract submission for #WPC2022Ireland is open and authors are encouraged to submit their abstract online for consideration. Read more: https://t.co/vcWdb35gFc @wpcongress
 #science #ireland #potato #potatoscience #innovation #agriculture #sustainability https://t.co/KNuouLRZpi"
2502,"Northern Ireland Sheep Programme (NISP) is a joint collaboration between CAFRE, @DunbiaGroup &amp; the @farmersjournal. There are 9 participating farmers &amp; over the next few weeks, we will be introducing you to each of the farmers.

Find out more about NISP: https://t.co/ST2WYwQgVD"
2503,@offalycoco @IWTLaoisOffaly @Failte_Ireland @agriculture_ie @iemanet https://t.co/mMWmYaya6H
2504,Agriculture Minister Edwin Poots removes post-Brexit checks on GB to NI pet travel ‘indefinitely’ https://t.co/S6sUer2maS
2505,Agriculture Minister Edwin Poots removes post-Brexit checks on GB to NI pet travel ‘indefinitely’ https://t.co/C93whFZfVD Northern Ireland’s ferrets now have unfettered access to Great Britain.
2506,"Is this what passes for animal welfare in Ireland @agriculture_ie @McConalogue ???

Widespread abuse/mistreatment of horses on our city/urban streets.
Sulky racing tolerated on public roads....
Where's the enforcement of 'Animal Welfare Act' ? @gardainfo

https://t.co/MsTTjyd4ze"
2507,"Rivers, wetlands and waters polluted by agriculture and sewage - report: Evening Standard https://t.co/mA6hGGVJOz 

MORE w/ EcoSearch: https://t.co/mfP7qTmlTj"
2508,"@OConnorOisin The state has to do more to radically reduce emissions here. The ‘technological fix’ won’t halt biodiversity loss and climate change. 

For one, @teagasc needs to pivot away from animal agriculture initiatives and instead support the production of pulses here in Ireland."
2509,"Pig numbers up 3.6%
https://t.co/YztpAZwQ80 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #CensusofAgriculture https://t.co/q800rwodqZ"
2510,"Very excited to hear all about #farmerhealth today from some fantastic speakers, what a brilliant event to start a conversation to improve #Health &amp; #Wellbeing in #Rural #Agriculture #Ireland @MensNetworkIE https://t.co/SmbPqJMMPa"
2511,"#ThroughHerEyes diary
Dublin-born Mary Dorothea Heron (1896–1960, first woman to be admitted to the Roll of Solicitors in 1923. Her sister Pauline got a first-class degree in medicine while another sister Faithful was Ireland's first woman graduate in agriculture. For more on ... https://t.co/9skb518Lrs"
2512,"Addressing #EnergyIreland, Seán Finan, CEO
Irish Bioenergy Association outlines the significant opportunity that bioenergy offers in decarbonising agriculture in Ireland, as well as reducing emissions in electricity, heat &amp; transport. https://t.co/8RHCAEEg0V"
2513,"""Parts of Ireland could be large co-operatively owned organic farms with abundant forestry instead of industrial-scale animal exporters masquerading as “agriculture”. We could have sustainable housing and indigenous industry but instead [there's]...short-term, unethical nonsense"" https://t.co/9tMjZajRKM"
2514,"Join us on Today at 11am : meet researchers &amp; activists working in the field, help create a #FarmerHealth  alliance &amp; start a national conversation to improve #Health &amp; #Wellbeing in #Rural #Agriculture #Ireland  
Please Like, RT &amp; Register at: https://t.co/FOKcCoJhjf https://t.co/D2MYaW70YQ"
